set_index	set_family	set_id	n_genes	membership_sha256	prior_anchor_class	analysis_role	observed_spearman_edge_concordance	random_spearman_median	random_spearman_q05	random_spearman_q95	matched_control_percentile	matched_control_percentile_is_p_value	observed_pearson_edge_concordance	random_pearson_median	random_pearson_q05	random_pearson_q95	observed_nonzero_edge_sign_agreement	random_sign_agreement_median	random_sign_agreement_q05	random_sign_agreement_q95	n_random_panels	coherence_inference_status	prior_label_retained_regardless_of_result
50	PAPER4_FROZEN_PROGRAM_ANCHOR	M34	162	d15aefc953261d3fbb796719b646993b1e69a2dad565594a9ca38a9823faf085	strong_external_canine_representation_preservation	INDEPENDENT_OUTCOME_BLIND_STRUCTURAL_COHERENCE_ANCHOR	0.5808529995676481	0.257246554326546	0.2116211899515218	0.3041305062988126	1.0	False	0.598131409257192	0.2961689523904234	0.2442320369652543	0.3499340952890721	0.9023847864427574	0.5915190552871712	0.5764128517751707	0.6074687523962886	1000	DESCRIPTIVE_ONLY_NO_FROZEN_PASS_FAIL_THRESHOLD	True
51	PAPER4_FROZEN_PROGRAM_ANCHOR	M40	111	e0a1de7c0c57d0cac55c7c2835b6c9aec8eae14dc572578c5a609323876d92a1	strong_external_canine_representation_preservation	INDEPENDENT_OUTCOME_BLIND_STRUCTURAL_COHERENCE_ANCHOR	0.6698559713114505	0.3002042989338536	0.245076400870371	0.3695084337475638	1.0	False	0.6281795443730915	0.3435950585429203	0.2835872364373036	0.4196568819128538	0.7641277641277642	0.6013104013104014	0.5826289926289927	0.6230958230958231	1000	DESCRIPTIVE_ONLY_NO_FROZEN_PASS_FAIL_THRESHOLD	True
52	PAPER4_FROZEN_PROGRAM_ANCHOR	M11	7	ba42ad83f1c65856cc520a5546eacdaae81c27a72998a44f4253aa052c06dda0	no_clear_external_canine_representation_preservation	INDEPENDENT_OUTCOME_BLIND_STRUCTURAL_COHERENCE_ANCHOR	0.3831168831168831	0.3285714285714285	-0.0883116883116883	0.6885064935064933	0.5944055944055944	False	0.3478590770260769	0.3825350472490967	-0.0716901275133359	0.7337148582990288	0.7142857142857143	0.6190476190476191	0.4285714285714285	0.8095238095238095	1000	DESCRIPTIVE_ONLY_NO_FROZEN_PASS_FAIL_THRESHOLD	True
53	PAPER4_FROZEN_PROGRAM_ANCHOR	M24	7	d087afd2059ff12040a0894bbd4b92fc1bb0ff12aa4729e942a39e3deb04efc4	no_clear_external_canine_representation_preservation	INDEPENDENT_OUTCOME_BLIND_STRUCTURAL_COHERENCE_ANCHOR	0.1779220779220779	0.2077922077922078	-0.1961038961038961	0.5938311688311686	0.4535464535464535	False	0.1638005983428757	0.2368534311063503	-0.1732869450495719	0.6518293943033835	0.7619047619047619	0.5714285714285714	0.3809523809523809	0.7619047619047619	1000	DESCRIPTIVE_ONLY_NO_FROZEN_PASS_FAIL_THRESHOLD	True
