module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight,canonical_human_gene_symbol
M34,ABCC3_3,ABCC3,ABCC3,strict_symbol_concordant_one_to_one,0.074553954480611,-0.074553954480611,0.074553954480611,True,True,1,-0.0072077766687991,ABCC3
M34,ACOD1_3,ACOD1,ACOD1,strict_symbol_concordant_one_to_one,0.0622329927592512,-0.0622329927592512,0.0622329927592512,True,True,1,-0.0060166025580351,ACOD1
M34,ADCY7_3,ADCY7,ADCY7,strict_symbol_concordant_one_to_one,0.0562933877590652,-0.0562933877590652,0.0562933877590652,True,True,1,-0.0054423694856183,ADCY7
M34,ADGRE3_3,ADGRE3,ADGRE3,strict_symbol_concordant_one_to_one,0.0425819163285164,-0.0425819163285164,0.0425819163285164,True,True,1,-0.0041167627547544,ADGRE3
M34,ADGRF1_3,ADGRF1,ADGRF1,strict_symbol_concordant_one_to_one,0.0487755408682422,-0.0487755408682422,0.0487755408682422,True,True,1,-0.004715554096726,ADGRF1
M34,ADGRG6_3,ADGRG6,ADGRG6,strict_symbol_concordant_one_to_one,0.055423993865047,-0.055423993865047,0.055423993865047,True,True,1,-0.0053583176459948,ADGRG6
M34,ALOX5_3,ALOX5,ALOX5,strict_symbol_concordant_one_to_one,0.0455899499967494,-0.0455899499967494,0.0455899499967494,True,True,1,-0.004407575429198,ALOX5
M34,ANKRD22_3,ANKRD22,ANKRD22,strict_symbol_concordant_one_to_one,0.0705661002310783,-0.0705661002310783,0.0705661002310783,True,True,1,-0.0068222362502043,ANKRD22
M34,ANXA3_3,ANXA3,ANXA3,strict_symbol_concordant_one_to_one,0.0547995442070339,-0.0547995442070339,0.0547995442070339,True,True,1,-0.0052979466877106,ANXA3
M34,ARHGAP30_3,ARHGAP30,ARHGAP30,strict_symbol_concordant_one_to_one,0.0810035690711722,-0.0810035690711722,0.0810035690711722,True,True,1,-0.0078313167867238,ARHGAP30
M34,ARHGDIB_3,ARHGDIB,ARHGDIB,strict_symbol_concordant_one_to_one,0.0717694835312509,-0.0717694835312509,0.0717694835312509,True,True,1,-0.0069385777391975,ARHGDIB
M34,ARRB1_3,ARRB1,ARRB1,strict_symbol_concordant_one_to_one,0.0575913601323136,-0.0575913601323136,0.0575913601323136,True,True,1,-0.0055678557197667,ARRB1
M34,ATF7IP2_3,ATF7IP2,ATF7IP2,strict_symbol_concordant_one_to_one,0.0441874357636808,-0.0441874357636808,0.0441874357636808,True,True,1,-0.004271982227775,ATF7IP2
M34,ATP8A1_3,ATP8A1,ATP8A1,strict_symbol_concordant_one_to_one,0.0738598969197338,-0.0738598969197338,0.0738598969197338,True,True,1,-0.0071406761115055,ATP8A1
M34,B2M_3,B2M,B2M,strict_symbol_concordant_one_to_one,0.0773112032797366,-0.0773112032797366,0.0773112032797366,True,True,1,-0.0074743437973017,B2M
M34,BATF2_3,BATF2,BATF2,strict_symbol_concordant_one_to_one,0.063170832261762,-0.063170832261762,0.063170832261762,True,True,1,-0.0061072716276018,BATF2
M34,BLNK_3,BLNK,BLNK,strict_symbol_concordant_one_to_one,0.0785045212037167,-0.0785045212037167,0.0785045212037167,True,True,1,-0.0075897121791783,BLNK
M34,BTK_3,BTK,BTK,strict_symbol_concordant_one_to_one,0.0717131368705875,-0.0717131368705875,0.0717131368705875,True,True,1,-0.0069331302193587,BTK
M34,C3AR1_3,C3AR1,C3AR1,strict_symbol_concordant_one_to_one,0.0750105506389264,-0.0750105506389264,0.0750105506389264,True,True,1,-0.007251919775089,C3AR1
M34,CAPG_3,CAPG,CAPG,strict_symbol_concordant_one_to_one,0.0365907499069343,-0.0365907499069343,0.0365907499069343,True,True,1,-0.0035375447930351,CAPG
M34,CARD9_3,CARD9,CARD9,strict_symbol_concordant_one_to_one,0.0730782009629116,-0.0730782009629116,0.0730782009629116,True,True,1,-0.0070651027912312,CARD9
