scenario_id	replicate	replicate_seed	target_events	target_train_n	target_train_realized_censor_fraction	n_transportable_modules	n_causal_modules	n_causal_transportable_modules	beta_source_l2	beta_target_l2	causal_source_target_effect_correlation	mean_prior_transportable	mean_prior_nontransportable	n_mapping_dropped	n_mapping_mismapped
CORE_0000	0	20260831	5	8	0.375	50	10	10	1.0708321332931519	1.04896879196167	0.9958914386940461	0.7802771925926208		0	0
CORE_0000	1	20260832	5	8	0.375	50	10	10	0.9532303810119629	0.8699195384979248	0.994550552587692	0.7996737957000732		0	0
CORE_0000	2	20260833	5	8	0.375	50	10	10	1.0392087697982788	0.8987905979156494	0.997341931334653	0.828616201877594		0	0
CORE_0000	3	20260834	5	8	0.375	50	10	10	0.9459126591682434	0.8785759806632996	0.9968286437412741	0.7945560216903687		0	0
CORE_0000	4	20260835	5	8	0.375	50	10	10	1.1464753150939941	1.0591665506362915	0.9921171881182649	0.804006040096283		0	0
CORE_0000	5	20260836	5	8	0.375	50	10	10	1.1180652379989624	0.9666852355003357	0.9966311673054257	0.8024731278419495		0	0
CORE_0000	6	20260837	5	8	0.375	50	10	10	1.0953117609024048	0.9733044505119324	0.9875426594207649	0.7786946296691895		0	0
CORE_0000	7	20260838	5	8	0.375	50	10	10	1.042828917503357	0.9405863285064697	0.9923408433493643	0.7929892539978027		0	0
CORE_0000	8	20260839	5	8	0.375	50	10	10	1.020050287246704	0.9132227301597595	0.9932716198969452	0.8020818829536438		0	0
CORE_0000	9	20260840	5	8	0.375	50	10	10	1.0084922313690186	0.930389940738678	0.9961782236297146	0.7992709875106812		0	0
CORE_0000	10	20260841	5	8	0.375	50	10	10	1.0536766052246094	0.950374186038971	0.995354113292855	0.7866838574409485		0	0
CORE_0000	11	20260842	5	8	0.375	50	10	10	1.066085934638977	0.9129534363746643	0.985836789757308	0.7832287549972534		0	0
CORE_0000	12	20260843	5	8	0.375	50	10	10	1.0184128284454346	0.9820374250411987	0.9959201406285798	0.8158685564994812		0	0
CORE_0000	13	20260844	5	8	0.375	50	10	10	1.0765475034713745	0.9183239340782166	0.9939080119956094	0.7877611517906189		0	0
CORE_0000	14	20260845	5	8	0.375	50	10	10	0.9052546620368958	0.8058266639709473	0.9976169287771421	0.7913869619369507		0	0
