scenario_id,model,threshold_delta_uno_c,scenario_rate,replicates
STRESS_0054,A3,-0.03,0.97,100
STRESS_0054,A3,-0.04,0.96,100
STRESS_0054,A3,-0.05,0.9,100
STRESS_0054,A3,-0.06,0.86,100
STRESS_0055,A2,-0.01,0.22,100
STRESS_0055,A2,-0.02,0.19,100
STRESS_0055,A2,-0.03,0.15,100
STRESS_0055,A2,-0.04,0.14,100
STRESS_0055,A2,-0.05,0.13,100
STRESS_0055,A2,-0.06,0.12,100
STRESS_0055,A3,-0.01,0.99,100
STRESS_0055,A3,-0.02,0.98,100
STRESS_0055,A3,-0.03,0.96,100
STRESS_0055,A3,-0.04,0.93,100
STRESS_0055,A3,-0.05,0.86,100
STRESS_0055,A3,-0.06,0.79,100
STRESS_0056,A2,-0.01,0.16,100
STRESS_0056,A2,-0.02,0.09,100
STRESS_0056,A2,-0.03,0.08,100
STRESS_0056,A2,-0.04,0.08,100
STRESS_0056,A2,-0.05,0.05,100
STRESS_0056,A2,-0.06,0.05,100
STRESS_0056,A3,-0.01,0.99,100
STRESS_0056,A3,-0.02,0.98,100
STRESS_0056,A3,-0.03,0.95,100
STRESS_0056,A3,-0.04,0.92,100
STRESS_0056,A3,-0.05,0.77,100
STRESS_0056,A3,-0.06,0.7,100
STRESS_0057,A2,-0.01,0.27,100
STRESS_0057,A2,-0.02,0.23,100
STRESS_0057,A2,-0.03,0.18,100
STRESS_0057,A2,-0.04,0.12,100
STRESS_0057,A2,-0.05,0.09,100
STRESS_0057,A2,-0.06,0.09,100
STRESS_0057,A3,-0.01,1,100
STRESS_0057,A3,-0.02,1,100
STRESS_0057,A3,-0.03,0.99,100
STRESS_0057,A3,-0.04,0.97,100
STRESS_0057,A3,-0.05,0.95,100
STRESS_0057,A3,-0.06,0.93,100
STRESS_0058,A2,-0.01,0.19,100
STRESS_0058,A2,-0.02,0.15,100
STRESS_0058,A2,-0.03,0.13,100
STRESS_0058,A2,-0.04,0.1,100
STRESS_0058,A2,-0.05,0.08,100
STRESS_0058,A2,-0.06,0.07,100
STRESS_0058,A3,-0.01,1,100
STRESS_0058,A3,-0.02,0.99,100
STRESS_0058,A3,-0.03,0.99,100
STRESS_0058,A3,-0.04,0.94,100
STRESS_0058,A3,-0.05,0.91,100
STRESS_0058,A3,-0.06,0.8,100
STRESS_0059,A2,-0.01,0.16,100
STRESS_0059,A2,-0.02,0.14,100
STRESS_0059,A2,-0.03,0.1,100
STRESS_0059,A2,-0.04,0.07,100
STRESS_0059,A2,-0.05,0.04,100
STRESS_0059,A2,-0.06,0.04,100
STRESS_0059,A3,-0.01,1,100
STRESS_0059,A3,-0.02,0.99,100
STRESS_0059,A3,-0.03,0.96,100
STRESS_0059,A3,-0.04,0.9,100
STRESS_0059,A3,-0.05,0.85,100
STRESS_0059,A3,-0.06,0.73,100
STRESS_0060,A2,-0.01,0.22,100
STRESS_0060,A2,-0.02,0.19,100
STRESS_0060,A2,-0.03,0.13,100
STRESS_0060,A2,-0.04,0.12,100
STRESS_0060,A2,-0.05,0.09,100
STRESS_0060,A2,-0.06,0.09,100
STRESS_0060,A3,-0.01,1,100
STRESS_0060,A3,-0.02,1,100
STRESS_0060,A3,-0.03,0.97,100
STRESS_0060,A3,-0.04,0.96,100
STRESS_0060,A3,-0.05,0.87,100
STRESS_0060,A3,-0.06,0.84,100
STRESS_0061,A2,-0.01,0.18,100
STRESS_0061,A2,-0.02,0.15,100
STRESS_0061,A2,-0.03,0.14,100
STRESS_0061,A2,-0.04,0.09,100
STRESS_0061,A2,-0.05,0.05,100
STRESS_0061,A2,-0.06,0.04,100
STRESS_0061,A3,-0.01,0.96,100
STRESS_0061,A3,-0.02,0.94,100
STRESS_0061,A3,-0.03,0.94,100
STRESS_0061,A3,-0.04,0.91,100
STRESS_0061,A3,-0.05,0.88,100
STRESS_0061,A3,-0.06,0.8,100
STRESS_0062,A2,-0.01,0.18,100
STRESS_0062,A2,-0.02,0.12,100
STRESS_0062,A2,-0.03,0.09,100
STRESS_0062,A2,-0.04,0.06,100
STRESS_0062,A2,-0.05,0.05,100
STRESS_0062,A2,-0.06,0.04,100
STRESS_0062,A3,-0.01,0.97,100
STRESS_0062,A3,-0.02,0.96,100
STRESS_0062,A3,-0.03,0.94,100
STRESS_0062,A3,-0.04,0.94,100
STRESS_0062,A3,-0.05,0.87,100
STRESS_0062,A3,-0.06,0.75,100
STRESS_0063,A2,-0.01,0.2,100
STRESS_0063,A2,-0.02,0.16,100
STRESS_0063,A2,-0.03,0.07,100
STRESS_0063,A2,-0.04,0.03,100
STRESS_0063,A2,-0.05,0.03,100
STRESS_0063,A2,-0.06,0.02,100
STRESS_0063,A3,-0.01,1,100
STRESS_0063,A3,-0.02,1,100
STRESS_0063,A3,-0.03,0.99,100
STRESS_0063,A3,-0.04,0.94,100
STRESS_0063,A3,-0.05,0.9,100
STRESS_0063,A3,-0.06,0.85,100
STRESS_0064,A2,-0.01,0.26,100
STRESS_0064,A2,-0.02,0.19,100
STRESS_0064,A2,-0.03,0.17,100
STRESS_0064,A2,-0.04,0.12,100
STRESS_0064,A2,-0.05,0.08,100
STRESS_0064,A2,-0.06,0.05,100
STRESS_0064,A3,-0.01,1,100
STRESS_0064,A3,-0.02,1,100
STRESS_0064,A3,-0.03,0.99,100
STRESS_0064,A3,-0.04,0.99,100
STRESS_0064,A3,-0.05,0.97,100
STRESS_0064,A3,-0.06,0.93,100
STRESS_0065,A2,-0.01,0.21,100
STRESS_0065,A2,-0.02,0.17,100
STRESS_0065,A2,-0.03,0.1,100
STRESS_0065,A2,-0.04,0.1,100
STRESS_0065,A2,-0.05,0.06,100
STRESS_0065,A2,-0.06,0.06,100
STRESS_0065,A3,-0.01,1,100
STRESS_0065,A3,-0.02,1,100
STRESS_0065,A3,-0.03,1,100
STRESS_0065,A3,-0.04,1,100
STRESS_0065,A3,-0.05,0.97,100
STRESS_0065,A3,-0.06,0.96,100
STRESS_0066,A2,-0.01,0.26,100
STRESS_0066,A2,-0.02,0.21,100
STRESS_0066,A2,-0.03,0.16,100
STRESS_0066,A2,-0.04,0.13,100
STRESS_0066,A2,-0.05,0.11,100
STRESS_0066,A2,-0.06,0.09,100
STRESS_0066,A3,-0.01,0.99,100
STRESS_0066,A3,-0.02,0.99,100
STRESS_0066,A3,-0.03,0.94,100
STRESS_0066,A3,-0.04,0.89,100
STRESS_0066,A3,-0.05,0.87,100
STRESS_0066,A3,-0.06,0.78,100
STRESS_0067,A2,-0.01,0.26,100
STRESS_0067,A2,-0.02,0.19,100
STRESS_0067,A2,-0.03,0.18,100
STRESS_0067,A2,-0.04,0.15,100
STRESS_0067,A2,-0.05,0.11,100
STRESS_0067,A2,-0.06,0.08,100
STRESS_0067,A3,-0.01,1,100
STRESS_0067,A3,-0.02,1,100
STRESS_0067,A3,-0.03,1,100
STRESS_0067,A3,-0.04,0.97,100
STRESS_0067,A3,-0.05,0.96,100
STRESS_0067,A3,-0.06,0.95,100
STRESS_0068,A2,-0.01,0.32,100
STRESS_0068,A2,-0.02,0.26,100
STRESS_0068,A2,-0.03,0.19,100
STRESS_0068,A2,-0.04,0.12,100
STRESS_0068,A2,-0.05,0.07,100
STRESS_0068,A2,-0.06,0.07,100
STRESS_0068,A3,-0.01,1,100
STRESS_0068,A3,-0.02,1,100
STRESS_0068,A3,-0.03,1,100
STRESS_0068,A3,-0.04,0.98,100
STRESS_0068,A3,-0.05,0.97,100
STRESS_0068,A3,-0.06,0.95,100
STRESS_0069,A2,-0.01,0.34,100
STRESS_0069,A2,-0.02,0.29,100
STRESS_0069,A2,-0.03,0.23,100
STRESS_0069,A2,-0.04,0.17,100
STRESS_0069,A2,-0.05,0.13,100
STRESS_0069,A2,-0.06,0.12,100
STRESS_0069,A3,-0.01,0.98,100
STRESS_0069,A3,-0.02,0.93,100
STRESS_0069,A3,-0.03,0.9,100
STRESS_0069,A3,-0.04,0.81,100
STRESS_0069,A3,-0.05,0.7,100
STRESS_0069,A3,-0.06,0.62,100
STRESS_0070,A2,-0.01,0.41,100
STRESS_0070,A2,-0.02,0.32,100
STRESS_0070,A2,-0.03,0.25,100
STRESS_0070,A2,-0.04,0.22,100
STRESS_0070,A2,-0.05,0.17,100
STRESS_0070,A2,-0.06,0.15,100
STRESS_0070,A3,-0.01,1,100
STRESS_0070,A3,-0.02,1,100
STRESS_0070,A3,-0.03,0.99,100
STRESS_0070,A3,-0.04,0.98,100
STRESS_0070,A3,-0.05,0.94,100
STRESS_0070,A3,-0.06,0.9,100
STRESS_0071,A2,-0.01,0.33,100
STRESS_0071,A2,-0.02,0.27,100
STRESS_0071,A2,-0.03,0.23,100
STRESS_0071,A2,-0.04,0.18,100
STRESS_0071,A2,-0.05,0.11,100
STRESS_0071,A2,-0.06,0.09,100
STRESS_0071,A3,-0.01,1,100
STRESS_0071,A3,-0.02,1,100
STRESS_0071,A3,-0.03,0.98,100
STRESS_0071,A3,-0.04,0.98,100
STRESS_0071,A3,-0.05,0.97,100
STRESS_0071,A3,-0.06,0.95,100
STRESS_0072,A2,-0.01,0.44,100
STRESS_0072,A2,-0.02,0.28,100
STRESS_0072,A2,-0.03,0.17,100
STRESS_0072,A2,-0.04,0.1,100
STRESS_0072,A2,-0.05,0.05,100
STRESS_0072,A2,-0.06,0.02,100
STRESS_0072,A3,-0.01,0.14,100
STRESS_0072,A3,-0.02,0.05,100
STRESS_0072,A3,-0.03,0.03,100
STRESS_0072,A3,-0.04,0,100
STRESS_0072,A3,-0.05,0,100
STRESS_0072,A3,-0.06,0,100
STRESS_0073,A2,-0.01,0.43,100
STRESS_0073,A2,-0.02,0.34,100
STRESS_0073,A2,-0.03,0.23,100
STRESS_0073,A2,-0.04,0.14,100
STRESS_0073,A2,-0.05,0.08,100
STRESS_0073,A2,-0.06,0.04,100
STRESS_0073,A3,-0.01,0.13,100
STRESS_0073,A3,-0.02,0.04,100
STRESS_0073,A3,-0.03,0.03,100
STRESS_0073,A3,-0.04,0.01,100
STRESS_0073,A3,-0.05,0,100
STRESS_0073,A3,-0.06,0,100
STRESS_0074,A2,-0.01,0.46,100
STRESS_0074,A2,-0.02,0.38,100
STRESS_0074,A2,-0.03,0.29,100
STRESS_0074,A2,-0.04,0.21,100
STRESS_0074,A2,-0.05,0.17,100
STRESS_0074,A2,-0.06,0.1,100
STRESS_0074,A3,-0.01,0.2,100
STRESS_0074,A3,-0.02,0.12,100
STRESS_0074,A3,-0.03,0.1,100
STRESS_0074,A3,-0.04,0.03,100
STRESS_0074,A3,-0.05,0,100
STRESS_0074,A3,-0.06,0,100
STRESS_0075,A2,-0.01,0.37,100
STRESS_0075,A2,-0.02,0.27,100
STRESS_0075,A2,-0.03,0.22,100
STRESS_0075,A2,-0.04,0.14,100
STRESS_0075,A2,-0.05,0.09,100
STRESS_0075,A2,-0.06,0.03,100
STRESS_0075,A3,-0.01,0.08,100
STRESS_0075,A3,-0.02,0.06,100
STRESS_0075,A3,-0.03,0.01,100
STRESS_0075,A3,-0.04,0,100
STRESS_0075,A3,-0.05,0,100
STRESS_0075,A3,-0.06,0,100
STRESS_0076,A2,-0.01,0.35,100
STRESS_0076,A2,-0.02,0.3,100
STRESS_0076,A2,-0.03,0.16,100
STRESS_0076,A2,-0.04,0.11,100
STRESS_0076,A2,-0.05,0.09,100
STRESS_0076,A2,-0.06,0.05,100
STRESS_0076,A3,-0.01,0.09,100
STRESS_0076,A3,-0.02,0.03,100
STRESS_0076,A3,-0.03,0,100
STRESS_0076,A3,-0.04,0,100
STRESS_0076,A3,-0.05,0,100
STRESS_0076,A3,-0.06,0,100
STRESS_0077,A2,-0.01,0.44,100
STRESS_0077,A2,-0.02,0.32,100
STRESS_0077,A2,-0.03,0.23,100
STRESS_0077,A2,-0.04,0.14,100
STRESS_0077,A2,-0.05,0.09,100
STRESS_0077,A2,-0.06,0.04,100
STRESS_0077,A3,-0.01,0.15,100
STRESS_0077,A3,-0.02,0.08,100
STRESS_0077,A3,-0.03,0.04,100
STRESS_0077,A3,-0.04,0.03,100
STRESS_0077,A3,-0.05,0.02,100
STRESS_0077,A3,-0.06,0.01,100
STRESS_0078,A2,-0.01,0.43,100
STRESS_0078,A2,-0.02,0.31,100
STRESS_0078,A2,-0.03,0.22,100
STRESS_0078,A2,-0.04,0.15,100
STRESS_0078,A2,-0.05,0.07,100
STRESS_0078,A2,-0.06,0.03,100
STRESS_0078,A3,-0.01,0.12,100
STRESS_0078,A3,-0.02,0.05,100
STRESS_0078,A3,-0.03,0.02,100
STRESS_0078,A3,-0.04,0.01,100
STRESS_0078,A3,-0.05,0.01,100
STRESS_0078,A3,-0.06,0.01,100
STRESS_0079,A2,-0.01,0.36,100
STRESS_0079,A2,-0.02,0.27,100
STRESS_0079,A2,-0.03,0.18,100
STRESS_0079,A2,-0.04,0.12,100
STRESS_0079,A2,-0.05,0.09,100
STRESS_0079,A2,-0.06,0.07,100
STRESS_0079,A3,-0.01,0.06,100
STRESS_0079,A3,-0.02,0.02,100
STRESS_0079,A3,-0.03,0,100
STRESS_0079,A3,-0.04,0,100
STRESS_0079,A3,-0.05,0,100
STRESS_0079,A3,-0.06,0,100
STRESS_0080,A2,-0.01,0.25,100
STRESS_0080,A2,-0.02,0.22,100
STRESS_0080,A2,-0.03,0.15,100
STRESS_0080,A2,-0.04,0.1,100
STRESS_0080,A2,-0.05,0.06,100
STRESS_0080,A2,-0.06,0.03,100
STRESS_0080,A3,-0.01,0.09,100
STRESS_0080,A3,-0.02,0.06,100
STRESS_0080,A3,-0.03,0.06,100
STRESS_0080,A3,-0.04,0.01,100
STRESS_0080,A3,-0.05,0,100
STRESS_0080,A3,-0.06,0,100
STRESS_0081,A2,-0.01,0.38,100
STRESS_0081,A2,-0.02,0.32,100
STRESS_0081,A2,-0.03,0.21,100
STRESS_0081,A2,-0.04,0.14,100
STRESS_0081,A2,-0.05,0.09,100
STRESS_0081,A2,-0.06,0.08,100
STRESS_0081,A3,-0.01,0.13,100
STRESS_0081,A3,-0.02,0.09,100
STRESS_0081,A3,-0.03,0.02,100
STRESS_0081,A3,-0.04,0.01,100
STRESS_0081,A3,-0.05,0.01,100
STRESS_0081,A3,-0.06,0,100
STRESS_0082,A2,-0.01,0.37,100
STRESS_0082,A2,-0.02,0.26,100
STRESS_0082,A2,-0.03,0.14,100
STRESS_0082,A2,-0.04,0.08,100
STRESS_0082,A2,-0.05,0.03,100
STRESS_0082,A2,-0.06,0.02,100
STRESS_0082,A3,-0.01,0.16,100
STRESS_0082,A3,-0.02,0.09,100
STRESS_0082,A3,-0.03,0.05,100
STRESS_0082,A3,-0.04,0.03,100
STRESS_0082,A3,-0.05,0.03,100
STRESS_0082,A3,-0.06,0,100
STRESS_0083,A2,-0.01,0.36,100
STRESS_0083,A2,-0.02,0.31,100
STRESS_0083,A2,-0.03,0.21,100
STRESS_0083,A2,-0.04,0.17,100
STRESS_0083,A2,-0.05,0.1,100
STRESS_0083,A2,-0.06,0.09,100
STRESS_0083,A3,-0.01,0.44,100
STRESS_0083,A3,-0.02,0.32,100
STRESS_0083,A3,-0.03,0.24,100
STRESS_0083,A3,-0.04,0.16,100
STRESS_0083,A3,-0.05,0.07,100
STRESS_0083,A3,-0.06,0.03,100
STRESS_0084,A2,-0.01,0.4,100
STRESS_0084,A2,-0.02,0.28,100
STRESS_0084,A2,-0.03,0.21,100
STRESS_0084,A2,-0.04,0.14,100
STRESS_0084,A2,-0.05,0.1,100
STRESS_0084,A2,-0.06,0.04,100
STRESS_0084,A3,-0.01,0.14,100
STRESS_0084,A3,-0.02,0.08,100
STRESS_0084,A3,-0.03,0.04,100
STRESS_0084,A3,-0.04,0.02,100
STRESS_0084,A3,-0.05,0,100
STRESS_0084,A3,-0.06,0,100
STRESS_0085,A2,-0.01,0.37,100
STRESS_0085,A2,-0.02,0.27,100
STRESS_0085,A2,-0.03,0.2,100
STRESS_0085,A2,-0.04,0.19,100
STRESS_0085,A2,-0.05,0.1,100
STRESS_0085,A2,-0.06,0.02,100
STRESS_0085,A3,-0.01,0.24,100
STRESS_0085,A3,-0.02,0.12,100
STRESS_0085,A3,-0.03,0.04,100
STRESS_0085,A3,-0.04,0.04,100
STRESS_0085,A3,-0.05,0.03,100
STRESS_0085,A3,-0.06,0.01,100
STRESS_0086,A2,-0.01,0.39,100
STRESS_0086,A2,-0.02,0.27,100
STRESS_0086,A2,-0.03,0.16,100
STRESS_0086,A2,-0.04,0.06,100
STRESS_0086,A2,-0.05,0.02,100
STRESS_0086,A2,-0.06,0,100
STRESS_0086,A3,-0.01,0.39,100
STRESS_0086,A3,-0.02,0.32,100
STRESS_0086,A3,-0.03,0.22,100
STRESS_0086,A3,-0.04,0.11,100
STRESS_0086,A3,-0.05,0.05,100
STRESS_0086,A3,-0.06,0.02,100
STRESS_0087,A2,-0.01,0.46,100
STRESS_0087,A2,-0.02,0.33,100
STRESS_0087,A2,-0.03,0.19,100
STRESS_0087,A2,-0.04,0.11,100
STRESS_0087,A2,-0.05,0.04,100
STRESS_0087,A2,-0.06,0.02,100
STRESS_0087,A3,-0.01,0.18,100
STRESS_0087,A3,-0.02,0.07,100
STRESS_0087,A3,-0.03,0.04,100
STRESS_0087,A3,-0.04,0.01,100
STRESS_0087,A3,-0.05,0,100
STRESS_0087,A3,-0.06,0,100
STRESS_0088,A2,-0.01,0.47,100
STRESS_0088,A2,-0.02,0.42,100
STRESS_0088,A2,-0.03,0.28,100
STRESS_0088,A2,-0.04,0.16,100
STRESS_0088,A2,-0.05,0.07,100
STRESS_0088,A2,-0.06,0.03,100
STRESS_0088,A3,-0.01,0.3,100
STRESS_0088,A3,-0.02,0.24,100
STRESS_0088,A3,-0.03,0.2,100
STRESS_0088,A3,-0.04,0.13,100
STRESS_0088,A3,-0.05,0.09,100
STRESS_0088,A3,-0.06,0.04,100
STRESS_0089,A2,-0.01,0.39,100
STRESS_0089,A2,-0.02,0.3,100
STRESS_0089,A2,-0.03,0.2,100
STRESS_0089,A2,-0.04,0.11,100
STRESS_0089,A2,-0.05,0.08,100
STRESS_0089,A2,-0.06,0.07,100
STRESS_0089,A3,-0.01,0.36,100
STRESS_0089,A3,-0.02,0.27,100
STRESS_0089,A3,-0.03,0.21,100
STRESS_0089,A3,-0.04,0.14,100
STRESS_0089,A3,-0.05,0.08,100
STRESS_0089,A3,-0.06,0.07,100
STRESS_0090,A2,-0.01,0.13,100
STRESS_0090,A2,-0.02,0.12,100
STRESS_0090,A2,-0.03,0.08,100
STRESS_0090,A2,-0.04,0.05,100
STRESS_0090,A2,-0.05,0.03,100
STRESS_0090,A2,-0.06,0.02,100
STRESS_0090,A3,-0.01,1,100
STRESS_0090,A3,-0.02,0.99,100
STRESS_0090,A3,-0.03,0.96,100
STRESS_0090,A3,-0.04,0.92,100
STRESS_0090,A3,-0.05,0.88,100
STRESS_0090,A3,-0.06,0.78,100
STRESS_0091,A2,-0.01,0.23,100
STRESS_0091,A2,-0.02,0.18,100
STRESS_0091,A2,-0.03,0.15,100
STRESS_0091,A2,-0.04,0.14,100
STRESS_0091,A2,-0.05,0.08,100
STRESS_0091,A2,-0.06,0.04,100
STRESS_0091,A3,-0.01,1,100
STRESS_0091,A3,-0.02,0.99,100
STRESS_0091,A3,-0.03,0.97,100
STRESS_0091,A3,-0.04,0.96,100
STRESS_0091,A3,-0.05,0.89,100
STRESS_0091,A3,-0.06,0.73,100
STRESS_0092,A2,-0.01,0.11,100
STRESS_0092,A2,-0.02,0.07,100
STRESS_0092,A2,-0.03,0.06,100
STRESS_0092,A2,-0.04,0.04,100
STRESS_0092,A2,-0.05,0.02,100
STRESS_0092,A2,-0.06,0,100
STRESS_0092,A3,-0.01,0.99,100
STRESS_0092,A3,-0.02,0.95,100
STRESS_0092,A3,-0.03,0.86,100
STRESS_0092,A3,-0.04,0.74,100
STRESS_0092,A3,-0.05,0.61,100
STRESS_0092,A3,-0.06,0.46,100
STRESS_0093,A2,-0.01,0.16,100
STRESS_0093,A2,-0.02,0.15,100
STRESS_0093,A2,-0.03,0.12,100
STRESS_0093,A2,-0.04,0.11,100
STRESS_0093,A2,-0.05,0.08,100
STRESS_0093,A2,-0.06,0.03,100
STRESS_0093,A3,-0.01,1,100
STRESS_0093,A3,-0.02,1,100
STRESS_0093,A3,-0.03,0.98,100
STRESS_0093,A3,-0.04,0.94,100
STRESS_0093,A3,-0.05,0.91,100
STRESS_0093,A3,-0.06,0.85,100
STRESS_0094,A2,-0.01,0.13,100
STRESS_0094,A2,-0.02,0.1,100
STRESS_0094,A2,-0.03,0.08,100
STRESS_0094,A2,-0.04,0.07,100
STRESS_0094,A2,-0.05,0.06,100
STRESS_0094,A2,-0.06,0.04,100
STRESS_0094,A3,-0.01,0.97,100
STRESS_0094,A3,-0.02,0.96,100
STRESS_0094,A3,-0.03,0.93,100
STRESS_0094,A3,-0.04,0.9,100
STRESS_0094,A3,-0.05,0.83,100
STRESS_0094,A3,-0.06,0.69,100
STRESS_0095,A2,-0.01,0.18,100
STRESS_0095,A2,-0.02,0.14,100
STRESS_0095,A2,-0.03,0.12,100
STRESS_0095,A2,-0.04,0.09,100
STRESS_0095,A2,-0.05,0.06,100
STRESS_0095,A2,-0.06,0.06,100
STRESS_0095,A3,-0.01,0.98,100
STRESS_0095,A3,-0.02,0.92,100
STRESS_0095,A3,-0.03,0.86,100
STRESS_0095,A3,-0.04,0.76,100
STRESS_0095,A3,-0.05,0.71,100
STRESS_0095,A3,-0.06,0.52,100
STRESS_0096,A2,-0.01,0.25,100
STRESS_0096,A2,-0.02,0.19,100
STRESS_0096,A2,-0.03,0.14,100
STRESS_0096,A2,-0.04,0.11,100
STRESS_0096,A2,-0.05,0.1,100
STRESS_0096,A2,-0.06,0.07,100
STRESS_0096,A3,-0.01,0.98,100
STRESS_0096,A3,-0.02,0.98,100
STRESS_0096,A3,-0.03,0.98,100
STRESS_0096,A3,-0.04,0.92,100
STRESS_0096,A3,-0.05,0.83,100
STRESS_0096,A3,-0.06,0.76,100
STRESS_0097,A2,-0.01,0.17,100
STRESS_0097,A2,-0.02,0.15,100
STRESS_0097,A2,-0.03,0.12,100
STRESS_0097,A2,-0.04,0.11,100
STRESS_0097,A2,-0.05,0.1,100
STRESS_0097,A2,-0.06,0.07,100
STRESS_0097,A3,-0.01,0.99,100
STRESS_0097,A3,-0.02,0.97,100
STRESS_0097,A3,-0.03,0.95,100
STRESS_0097,A3,-0.04,0.9,100
STRESS_0097,A3,-0.05,0.76,100
STRESS_0097,A3,-0.06,0.65,100
STRESS_0098,A2,-0.01,0.19,100
STRESS_0098,A2,-0.02,0.13,100
STRESS_0098,A2,-0.03,0.11,100
STRESS_0098,A2,-0.04,0.07,100
STRESS_0098,A2,-0.05,0.05,100
STRESS_0098,A2,-0.06,0.05,100
STRESS_0098,A3,-0.01,0.96,100
STRESS_0098,A3,-0.02,0.91,100
STRESS_0098,A3,-0.03,0.88,100
STRESS_0098,A3,-0.04,0.73,100
STRESS_0098,A3,-0.05,0.61,100
STRESS_0098,A3,-0.06,0.5,100
STRESS_0099,A2,-0.01,0.15,100
STRESS_0099,A2,-0.02,0.12,100
STRESS_0099,A2,-0.03,0.08,100
STRESS_0099,A2,-0.04,0.07,100
STRESS_0099,A2,-0.05,0.05,100
STRESS_0099,A2,-0.06,0.01,100
STRESS_0099,A3,-0.01,0.99,100
STRESS_0099,A3,-0.02,0.98,100
STRESS_0099,A3,-0.03,0.96,100
STRESS_0099,A3,-0.04,0.93,100
STRESS_0099,A3,-0.05,0.85,100
STRESS_0099,A3,-0.06,0.79,100
STRESS_0100,A2,-0.01,0.2,100
STRESS_0100,A2,-0.02,0.13,100
STRESS_0100,A2,-0.03,0.09,100
STRESS_0100,A2,-0.04,0.07,100
STRESS_0100,A2,-0.05,0.05,100
STRESS_0100,A2,-0.06,0.04,100
STRESS_0100,A3,-0.01,1,100
STRESS_0100,A3,-0.02,1,100
STRESS_0100,A3,-0.03,0.99,100
STRESS_0100,A3,-0.04,0.97,100
STRESS_0100,A3,-0.05,0.96,100
STRESS_0100,A3,-0.06,0.93,100
STRESS_0101,A2,-0.01,0.26,100
STRESS_0101,A2,-0.02,0.19,100
STRESS_0101,A2,-0.03,0.15,100
STRESS_0101,A2,-0.04,0.12,100
STRESS_0101,A2,-0.05,0.09,100
STRESS_0101,A2,-0.06,0.07,100
STRESS_0101,A3,-0.01,1,100
STRESS_0101,A3,-0.02,1,100
STRESS_0101,A3,-0.03,1,100
STRESS_0101,A3,-0.04,1,100
STRESS_0101,A3,-0.05,1,100
STRESS_0101,A3,-0.06,0.95,100
STRESS_0102,A2,-0.01,0.24,100
STRESS_0102,A2,-0.02,0.19,100
STRESS_0102,A2,-0.03,0.16,100
STRESS_0102,A2,-0.04,0.08,100
STRESS_0102,A2,-0.05,0.07,100
STRESS_0102,A2,-0.06,0.04,100
STRESS_0102,A3,-0.01,1,100
STRESS_0102,A3,-0.02,0.95,100
STRESS_0102,A3,-0.03,0.9,100
STRESS_0102,A3,-0.04,0.84,100
STRESS_0102,A3,-0.05,0.75,100
STRESS_0102,A3,-0.06,0.6,100
STRESS_0103,A2,-0.01,0.31,100
STRESS_0103,A2,-0.02,0.24,100
STRESS_0103,A2,-0.03,0.21,100
STRESS_0103,A2,-0.04,0.15,100
STRESS_0103,A2,-0.05,0.12,100
STRESS_0103,A2,-0.06,0.09,100
STRESS_0103,A3,-0.01,1,100
STRESS_0103,A3,-0.02,1,100
STRESS_0103,A3,-0.03,0.98,100
STRESS_0103,A3,-0.04,0.95,100
STRESS_0103,A3,-0.05,0.94,100
STRESS_0103,A3,-0.06,0.87,100
STRESS_0104,A2,-0.01,0.24,100
STRESS_0104,A2,-0.02,0.19,100
STRESS_0104,A2,-0.03,0.13,100
STRESS_0104,A2,-0.04,0.11,100
STRESS_0104,A2,-0.05,0.07,100
STRESS_0104,A2,-0.06,0.04,100
STRESS_0104,A3,-0.01,1,100
STRESS_0104,A3,-0.02,1,100
STRESS_0104,A3,-0.03,0.99,100
STRESS_0104,A3,-0.04,0.99,100
STRESS_0104,A3,-0.05,0.98,100
STRESS_0104,A3,-0.06,0.97,100
STRESS_0105,A2,-0.01,0.33,100
STRESS_0105,A2,-0.02,0.26,100
STRESS_0105,A2,-0.03,0.21,100
STRESS_0105,A2,-0.04,0.19,100
STRESS_0105,A2,-0.05,0.14,100
STRESS_0105,A2,-0.06,0.1,100
STRESS_0105,A3,-0.01,0.97,100
STRESS_0105,A3,-0.02,0.92,100
STRESS_0105,A3,-0.03,0.81,100
STRESS_0105,A3,-0.04,0.69,100
STRESS_0105,A3,-0.05,0.63,100
STRESS_0105,A3,-0.06,0.53,100
STRESS_0106,A2,-0.01,0.42,100
STRESS_0106,A2,-0.02,0.35,100
STRESS_0106,A2,-0.03,0.26,100
STRESS_0106,A2,-0.04,0.22,100
STRESS_0106,A2,-0.05,0.16,100
STRESS_0106,A2,-0.06,0.12,100
STRESS_0106,A3,-0.01,0.99,100
STRESS_0106,A3,-0.02,0.99,100
STRESS_0106,A3,-0.03,0.96,100
STRESS_0106,A3,-0.04,0.95,100
STRESS_0106,A3,-0.05,0.89,100
STRESS_0106,A3,-0.06,0.84,100
STRESS_0107,A2,-0.01,0.37,100
STRESS_0107,A2,-0.02,0.27,100
STRESS_0107,A2,-0.03,0.23,100
STRESS_0107,A2,-0.04,0.17,100
STRESS_0107,A2,-0.05,0.13,100
STRESS_0107,A2,-0.06,0.11,100
STRESS_0107,A3,-0.01,0.99,100
STRESS_0107,A3,-0.02,0.98,100
STRESS_0107,A3,-0.03,0.97,100
STRESS_0107,A3,-0.04,0.94,100
STRESS_0107,A3,-0.05,0.94,100
STRESS_0107,A3,-0.06,0.91,100
STRESS_0108,A2,-0.01,0.3,100
