scenario_id,regime,transfer_regime,replicates,model,mean_uno_c,mean_delta_c_vs_B0,negative_transfer_rate,catastrophic_negative_transfer_rate,frozen_role,eligible_for_primary_selection
CORE_0005,R5,R5_MISLEADING_SOURCE,200,B0,0.5439969742,0,0,0,frozen target-only reference,False
CORE_0005,R5,R5_MISLEADING_SOURCE,200,B4,0.4454529858,-0.09854398923,1,0.955,frozen non-selectable comparator,False
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,A0,0.559901019,-0.0001911453509,0,0,frozen non-selectable comparator,False
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,A1,0.6026322412,0.04254007882,0.16,0.145,frozen non-selectable comparator,False
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,A2,0.6057616483,0.04566948478,0.12,0.06,frozen selectable architecture,True
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,A3,0.6255525601,0.06546039718,0.005,0,frozen selectable architecture,True
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,A4,0.6278129047,0.06772074317,0,0,frozen non-selectable comparator,False
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,B0,0.5600921628,0,0,0,frozen target-only reference,False
CORE_0006,R0,R0_FULLY_TRANSPORTABLE,200,B4,0.6054242183,0.04533205338,0,0,frozen non-selectable comparator,False
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,A0,0.5363638173,0.000562740335,0,0,frozen non-selectable comparator,False
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,A1,0.538775744,0.002974667187,0.33,0.29,frozen non-selectable comparator,False
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,A2,0.5589458157,0.02314473725,0.18,0.07,frozen selectable architecture,True
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,A3,0.5940046415,0.05820356272,0.015,0,frozen selectable architecture,True
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,A4,0.5840248521,0.04822377348,0.005,0,frozen non-selectable comparator,False
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,B0,0.5358010766,0,0,0,frozen target-only reference,False
CORE_0007,R1,R1_MOSTLY_TRANSPORTABLE,200,B4,0.5667836797,0.03098260219,0,0,frozen non-selectable comparator,False
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,A0,0.5132338355,-5.643903047e-05,0,0,frozen non-selectable comparator,False
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,A1,0.4999889086,-0.01330136613,0.475,0.25,frozen non-selectable comparator,False
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,A2,0.5131889768,-0.0001012976447,0.3,0.085,frozen selectable architecture,True
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,A3,0.5457659261,0.03247565274,0.03,0.005,frozen selectable architecture,True
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,A4,0.5320913792,0.01880110521,0.075,0.015,frozen non-selectable comparator,False
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,B0,0.513290275,0,0,0,frozen target-only reference,False
CORE_0008,R2,R2_PARTIALLY_TRANSPORTABLE,200,B4,0.525857572,0.01256729689,0.01,0,frozen non-selectable comparator,False
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,A0,0.5207396968,0.0001712574874,0,0,frozen non-selectable comparator,False
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,A1,0.5188818955,-0.001686543324,0.335,0.14,frozen non-selectable comparator,False
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,A2,0.5132867497,-0.007281689676,0.325,0.135,frozen selectable architecture,True
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,A3,0.5168687598,-0.003699678536,0.31,0.015,frozen selectable architecture,True
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,A4,0.4978068227,-0.02276161426,0.525,0.185,frozen non-selectable comparator,False
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,B0,0.5205684388,0,0,0,frozen target-only reference,False
CORE_0009,R3,R3_WEAKLY_TRANSPORTABLE,200,B4,0.5104719539,-0.01009648581,0.235,0,frozen non-selectable comparator,False
