regime,model,frozen_role,eligible_for_primary_selection,n_frozen_scenarios,mean_uno_c,mean_delta_uno_c_vs_B0,negative_transfer_rate_at_deltaC_le_-0.02,catastrophic_transfer_rate_at_deltaC_le_-0.05,aggregation,analysis_role
R4,B0,frozen target-only reference,False,6,0.5522721341,0,0,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R4,B4,frozen non-selectable comparator,False,6,0.5265218954,-0.02575023894,0.5116666667,0.1133333333,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R4,A0,frozen non-selectable comparator,False,6,0.5534637159,0.001191580753,0.001666666667,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R4,A1,frozen non-selectable comparator,False,6,0.5770315454,0.02475941057,0.1516666667,0.06833333333,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R4,A2,frozen selectable architecture,True,6,0.5586840022,0.006411867164,0.2766666667,0.13,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R4,A3,frozen selectable architecture,True,6,0.5159561139,-0.03631602063,0.6891666667,0.2716666667,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R4,A4,frozen non-selectable comparator,False,6,0.4959261111,-0.05634602386,0.8908333333,0.565,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,B0,frozen target-only reference,False,78,0.5913750788,0,0,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,B4,frozen non-selectable comparator,False,78,0.5579597971,-0.03341528153,0.6526923077,0.2199358974,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,A0,frozen non-selectable comparator,False,78,0.5905895264,-0.0007855524052,0.01467948718,0,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,A1,frozen non-selectable comparator,False,78,0.6492342286,0.05785914983,0.05326923077,0.02051282051,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,A2,frozen selectable architecture,True,78,0.6194384129,0.028063334,0.1498076923,0.05955128205,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,A3,frozen selectable architecture,True,78,0.511607216,-0.0797678626,0.9204487179,0.7121794872,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
R5,A4,frozen non-selectable comparator,False,78,0.4917903056,-0.09958477321,0.9791025641,0.8797435897,existing within-scenario metrics; equal weight across frozen scenarios within regime,POST-HOLD DESCRIPTIVE CONTEXT
