check_family,model,quantity,observed,expected,absolute_difference,tolerance,pass
accepted_independent_posthold_replay_anchor,A1,R5_catastrophic_transfer_rate_at_deltaC_le_-0.05,0.0205128205128,0.020513,1.79487179484e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A2,equal_scenario_mean_uno_c,0.56980868891,0.569809,3.11089528915e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A2,negative_transfer_rate_at_deltaC_le_-0.02,0.215416666667,0.215417,3.33333333352e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A2,R5_catastrophic_transfer_rate_at_deltaC_le_-0.05,0.0595512820513,0.059551,2.82051282031e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A3,equal_scenario_mean_uno_c,0.530066931032,0.530067,6.89683556931e-08,7.5e-06,True
accepted_independent_posthold_replay_anchor,A3,negative_transfer_rate_at_deltaC_le_-0.02,0.486333333333,0.486333,3.3333333338e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A3,R5_catastrophic_transfer_rate_at_deltaC_le_-0.05,0.712179487179,0.712179,4.87179487085e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A4,equal_scenario_mean_uno_c,0.519107277179,0.519107,2.7717893003e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A4,negative_transfer_rate_at_deltaC_le_-0.02,0.511722222222,0.511722,2.22222222179e-07,7.5e-06,True
accepted_independent_posthold_replay_anchor,A4,R5_catastrophic_transfer_rate_at_deltaC_le_-0.05,0.879743589744,0.879744,4.10256410399e-07,7.5e-06,True
