model_id	published_existing_ibs	historical_helper_ibs	historical_helper_abs_diff	simple_mean_all_folds_ibs	n_test_weighted_all_folds_ibs	mean_of_repeat_simple_means_ibs	mean_of_repeat_n_test_weighted_means_ibs	simple_mean_all_folds_abs_diff	n_test_weighted_all_folds_abs_diff	mean_of_repeat_simple_means_abs_diff	mean_of_repeat_n_test_weighted_means_abs_diff
T0	0.209292191022	0.209292191022	0	0.209544222733	0.209292191022	0.209544222733	0.209292191022	0.000252031711396	0	0.000252031711396	2.77555756156e-17
T1	0.15903241134	0.15903241134	5.55111512313e-17	0.158994099	0.15903241134	0.158994099	0.15903241134	3.83123403438e-05	5.55111512313e-17	3.83123403438e-05	5.55111512313e-17
T2	0.203835077331	0.203835077331	2.77555756156e-17	0.203713221816	0.203835077331	0.203713221816	0.203835077331	0.000121855514639	2.77555756156e-17	0.000121855514639	5.55111512313e-17
N0	0.236592099653	0.236592099653	5.55111512313e-17	0.236591329378	0.236592099653	0.236591329378	0.236592099653	7.70274885237e-07	5.55111512313e-17	7.70274885209e-07	5.55111512313e-17
N1	0.169070607267	0.169070607267	2.77555756156e-17	0.169003970054	0.169070607267	0.169003970054	0.169070607267	6.66372134961e-05	2.77555756156e-17	6.66372134961e-05	5.55111512313e-17
N2	0.169097813886	0.169097813886	2.77555756156e-17	0.169031136065	0.169097813886	0.169031136065	0.169097813886	6.66778215618e-05	2.77555756156e-17	6.66778215618e-05	0
N3	0.204555782164	0.204555782164	2.77555756156e-17	0.204657639092	0.204555782164	0.204657639092	0.204555782164	0.000101856927517	2.77555756156e-17	0.000101856927517	0
N4	0.238839419885	0.238839419885	2.77555756156e-17	0.238907832897	0.238839419885	0.238907832897	0.238839419885	6.84130117434e-05	2.77555756156e-17	6.84130117434e-05	5.55111512313e-17
N5	0.234113741829	0.234113741829	2.77555756156e-17	0.234150125622	0.234113741829	0.234150125622	0.234113741829	3.63837922859e-05	2.77555756156e-17	3.63837922858e-05	2.77555756156e-17
