repeat	outer_fold	model_id	n_train	events_train	n_test	events_test	ibs	ibs_status	ibs_grid_n	ibs_grid_min	ibs_grid_max	km_survival_at_grid_start	km_survival_at_grid_end	zero_time_case_in_train	zero_time_case_in_test
9	0	KM_NULL	68	23	18	6	0.129834549585	PASS	20	362.6	1037.8	0.925373134328	0.703986382575	True	False
9	1	KM_NULL	69	24	17	5	0.188623675645	PASS	20	460.4	1268.2	0.925089857105	0.67541789771	True	False
9	2	KM_NULL	69	23	17	6	0.0461901745761	PASS	20	315.8	824.6	0.927090301003	0.711705891066	False	True
9	3	KM_NULL	69	23	17	6	0.205788320556	PASS	18	446.073684211	1553.4	0.895633412263	0.707329468884	True	False
9	4	KM_NULL	69	23	17	6	0.238399345329	PASS	20	457.2	1553.4	0.924828492191	0.690837712237	True	False
10	0	KM_NULL	68	23	18	6	0.197006630689	PASS	20	400.4	1333.4	0.923949483352	0.689716988882	True	False
10	1	KM_NULL	69	24	17	5	0.0814371634931	PASS	18	409.778947368	1120.2	0.895890778186	0.699852670444	True	False
10	2	KM_NULL	69	23	17	6	0.15406644513	PASS	20	315.8	1333.4	0.926470588235	0.709118690539	True	False
10	3	KM_NULL	69	23	17	6	0.215273218473	PASS	20	457.2	1371.8	0.924828492191	0.694144635266	True	False
10	4	KM_NULL	69	23	17	6	0.16228618344	PASS	20	377	1037.8	0.927090301003	0.70021528004	False	True
11	0	KM_NULL	68	23	18	6	0.217503669407	PASS	20	526.2	1553.4	0.92485677828	0.700681484973	False	True
11	1	KM_NULL	69	24	17	5	0.143150040609	PASS	20	370.4	1242.6	0.925791855204	0.686843635628	True	False
11	2	KM_NULL	69	23	17	6	0.188371995399	PASS	20	400.4	1310.2	0.925996204934	0.699163577266	True	False
11	3	KM_NULL	69	23	17	6	0.106968410968	PASS	13	560.284210526	979.4	0.848464979102	0.711689556698	True	False
11	4	KM_NULL	69	23	17	6	0.189429505664	PASS	14	543.8	1037.8	0.848184494811	0.695617068392	True	False
12	0	KM_NULL	68	23	18	6	0.14601750884	PASS	18	420.473684211	1310.2	0.89431775746	0.703744019175	True	False
12	1	KM_NULL	69	24	17	5	0.169805981638	PASS	20	407.6	1268.2	0.925996204934	0.683220552962	True	False
12	2	KM_NULL	69	23	17	6	0.0867990081618	PASS	18	381.989473684	944.6	0.911075367647	0.712864644013	True	False
12	3	KM_NULL	69	23	17	6	0.180468936953	PASS	20	362.6	1333.4	0.926011029412	0.695690870626	True	False
12	4	KM_NULL	69	23	17	6	0.241368647368	PASS	20	513.6	1553.4	0.925737084076	0.697727622881	False	True
13	0	KM_NULL	68	23	18	6	0.120040474226	PASS	20	362.6	944.6	0.924899312959	0.694061999351	True	False
13	1	KM_NULL	69	24	17	5	0.181100467106	PASS	20	370.4	1540.6	0.926470588235	0.680727996572	True	False
