relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k12_weights.csv,__table__,722,9,74625,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k16_weights.csv,__table__,722,12,101158,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/mofa_k8_weights.csv,__table__,722,7,57065,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/stacked_pca_k12_loadings.csv,__table__,722,13,187359,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/stacked_pca_k16_loadings.csv,__table__,722,17,248381,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_core_plus_frozen/stacked_pca_k8_loadings.csv,__table__,722,9,126446,__index__,0,0,0,186,0.0,False
data/processed/multistudy_factor_variable_only/four_cohort_detection_aware_variable_only_700/gene_metadata.csv,__table__,700,23,278837,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k12_weights.csv,__table__,700,9,71426,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k16_weights.csv,__table__,700,12,96496,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/mofa_k8_weights.csv,__table__,700,7,54562,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/stacked_pca_k12_loadings.csv,__table__,700,13,181454,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/stacked_pca_k16_loadings.csv,__table__,700,17,240497,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_fits/four_cohort_detection_aware_variable_only_700/stacked_pca_k8_loadings.csv,__table__,700,9,122454,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_nested_cv_selected_genes.csv,__table__,628,6,26654,__index__,0,0,0,186,0.0,False
results/tables/Ammons_scRNA_dog_celltype_pseudobulk_scores.csv,__table__,548,32,186462,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_nested_cv_selected_gene_stability.csv,__table__,505,8,25763,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_mb_candidate_genes_from_univariate_cox.csv,__table__,475,16,111279,__index__,0,0,0,186,0.0,False
data/processed/multistudy_factor/four_cohort_detection_aware/gene_metadata.csv,__table__,438,22,154185,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k12_weights.csv,__table__,438,9,45022,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_fits/four_cohort_detection_aware/mofa_k16_weights.csv,__table__,438,10,50083,__index__,0,0,0,186,0.0,False
